country_name,city_name,timezone_name
Algeria,Adrar,Africa/Algiers
Algeria,Algiers,Africa/Algiers
Algeria,Annaba,Africa/Algiers
Algeria,Batna,Africa/Algiers
Algeria,Béjaïa,Africa/Algiers
Algeria,Oumache,Africa/Algiers
Algeria,Chlef,Africa/Algiers
Algeria,Constantine,Africa/Algiers
Algeria,Hassi Messaoud,Africa/Algiers
Algeria,Jijel,Africa/Algiers
Algeria,Oran,Africa/Algiers
Algeria,Sétif,Africa/Algiers
Algeria,Tamanrasset,Africa/Algiers
Algeria,Tlemcen,Africa/Algiers
Egypt,Alexandria,America/New_York
Egypt,Asyut,Africa/Cairo
Egypt,Aswan,Africa/Cairo
Egypt,Cairo,Africa/Cairo
Egypt,El Arish,Australia/Brisbane
Egypt,El Dabaa,Africa/Cairo
Egypt,Hurghada,Africa/Cairo
Egypt,Luxor,Africa/Cairo
Egypt,Marsa Alam,Africa/Cairo
Egypt,Mersa Matruh,Africa/Cairo
Egypt,Saint Catherine,America/Jamaica
Egypt,Sharm El Sheikh,Africa/Cairo
Egypt,Sohag,Africa/Cairo
Egypt,Taba,Africa/Lagos
Libya,Benghazi,Africa/Tripoli
Libya,Sabha,Pacific/Fiji
Libya,Tripoli,Africa/Tripoli
Libya,Tajoura,Africa/Tripoli
Morocco,Agadir,Africa/Casablanca
Morocco,Casablanca,Africa/Casablanca
Morocco,Fes,Africa/Casablanca
Morocco,Marrakech,Africa/Casablanca
Morocco,Nador,Africa/Casablanca
Morocco,Oujda,Africa/Casablanca
Morocco,Rabat,Africa/Casablanca
Morocco,Tangier,Africa/Casablanca
Morocco,Tetouan,Africa/Casablanca
Morocco,Dakhla,Africa/El_Aaiun
Morocco,Laayoune,Africa/El_Aaiun
Sudan,Khartoum,Africa/Khartoum
Sudan,Port Sudan,Africa/Khartoum
Tunisia,Djerba,Africa/Tunis
Tunisia,Enfidha,Africa/Tunis
Tunisia,Monastir,Europe/Rome
Tunisia,Sfax,Africa/Tunis
Tunisia,Tabarka,Africa/Tunis
Tunisia,Tozeur,Africa/Tunis
Tunisia,Tunis,Africa/Tunis
Benin,Cotonou,Africa/Porto-Novo
Burkina Faso,Bobo-Dioulasso,Africa/Ouagadougou
Burkina Faso,Ouagadougou,Africa/Ouagadougou
Cape Verde,Boa Vista,America/Boa_Vista
Cape Verde,Sal Island,America/New_York
Cape Verde,"Praia, Santiago Island",Atlantic/Cape_Verde
Cape Verde,São Vicente,America/Sao_Paulo
Côte d'Ivoire,Abidjan,Africa/Abidjan
The Gambia,Banjul,Africa/Banjul
Ghana,Accra,Africa/Accra
Ghana,Kumasi,Africa/Accra
Ghana,Takoradi,Africa/Accra
Ghana,Sunyani,Africa/Accra
Ghana,Ho,Europe/London
Ghana,Wa,America/Los_Angeles
Ghana,Tamale,Africa/Accra
Guinea,Conakry,Africa/Conakry
Guinea-Bissau,Bissau,Africa/Bissau
Guinea-Bissau,Bubaque,Africa/Bissau
Liberia,Monrovia,Africa/Monrovia
Mali,Bamako,Africa/Bamako
Mauritania,Nouakchott,Africa/Nouakchott
Mauritania,Nouadhibou,Africa/Nouakchott
Mauritania,Atar,Africa/Nouakchott
Niger,Niamey,Africa/Niamey
Nigeria,Abuja,Africa/Lagos
Nigeria,Calabar,Africa/Lagos
Nigeria,"Asaba, Delta",Africa/Lagos
Nigeria,Kano,Africa/Lagos
Nigeria,Lagos,Africa/Lagos
Nigeria,Port Harcourt,Africa/Lagos
Nigeria,Enugu,Africa/Lagos
Nigeria,Sokoto,Africa/Lagos
"Saint Helena, Ascension and Tristan da Cunha",Saint Helena,Atlantic/St_Helena
Senegal,Dakar,Africa/Dakar
Sierra Leone,Freetown,Africa/Freetown
Togo,Lomé,Africa/Lome
Angola,Luanda,Africa/Luanda
Angola,Lubango,Africa/Luanda
Cameroon,Douala,Africa/Douala
Cameroon,Yaoundé,Africa/Douala
Central African Republic,Bangui,Africa/Bangui
Chad,N'Djamena,Africa/Ndjamena
Democratic Republic of the Congo,Goma,Africa/Lubumbashi
Democratic Republic of the Congo,Kinshasa,Africa/Kinshasa
Democratic Republic of the Congo,Kisangani,Africa/Lubumbashi
Democratic Republic of the Congo,Lubumbashi,Africa/Lubumbashi
Republic of the Congo,Brazzaville,Africa/Brazzaville
Republic of the Congo,Pointe-Noire,Africa/Brazzaville
Equatorial Guinea,Malabo,Africa/Malabo
Gabon,Franceville,Africa/Libreville
Gabon,Libreville,Africa/Libreville
Gabon,Port-Gentil,Africa/Libreville
São Tomé and Príncipe,São Tomé,Africa/Sao_Tome
Botswana,Gaborone,Africa/Gaborone
Botswana,Maun,Africa/Gaborone
Botswana,Francistown,Africa/Gaborone
Botswana,Kasane,Africa/Gaborone
Eswatini,Manzini,Africa/Mbabane
Lesotho,Maseru,Africa/Maseru
Namibia,Windhoek,Africa/Windhoek
Namibia,Walvis Bay,Africa/Windhoek
South Africa,Cape Town,Africa/Johannesburg
South Africa,Durban,Africa/Johannesburg
South Africa,Johannesburg,Africa/Johannesburg
South Africa,Nelspruit,Africa/Johannesburg
South Africa,Bloemfontein,Africa/Johannesburg
South Africa,East London,Africa/Johannesburg
Burundi,Bujumbura,Africa/Bujumbura
Comoros,Moroni,Indian/Comoro
Djibouti,Djibouti City,Africa/Johannesburg
Eritrea,Asmara,Africa/Asmara
Ethiopia,Addis Ababa,Africa/Addis_Ababa
Ethiopia,Dire Dawa,Africa/Addis_Ababa
Kenya,Eldoret,Africa/Nairobi
Kenya,Mombasa,Africa/Nairobi
Kenya,Kisumu,Africa/Nairobi
Kenya,Nairobi,Africa/Nairobi
Madagascar,Antananarivo,Indian/Antananarivo
Madagascar,Antsiranana,Indian/Antananarivo
Madagascar,Mahajanga,Indian/Antananarivo
Madagascar,Nosy Be,Indian/Antananarivo
Madagascar,Toamasina,Indian/Antananarivo
Madagascar,Tôlanaro,Indian/Antananarivo
Madagascar,Toliara,Indian/Antananarivo
Malawi,Blantyre,Africa/Blantyre
Malawi,Lilongwe,Africa/Blantyre
Mauritius,Plaine Magnien,Indian/Mauritius
Mayotte,Dzaoudzi,Indian/Mayotte
Mozambique,Maputo,Africa/Maputo
Mozambique,Beira,Africa/Maputo
Mozambique,Inhambane,Africa/Maputo
Mozambique,Nampula,Africa/Maputo
